item,N options,lowrange,hirange,jisc_col_start,jisc_col_end,introtext,text1,text2,text3,text4,text5,text6,text7,text8,text9,text10,text11,text12,text13,text14,text15,text16,text17,text18,text19,text20
1,3,1,3,NA,NA,"Some panel members had roles both as sleuths and in research integrity or other roles. If that is the case for you, please select the role you feel most strongly affiliated with, rather than selecting 'Neither'.","Group 1: Sleuths, etc","Group 2: Research integrity officers, etc",Group 3: Neither of the above,,,,,,,,,,,,,,,,,
2,1,1,3,NA,NA,How common is the problem of serious research misconduct? ,Serious research misconduct is rare relative to the amount of published research literature,Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature,Serious research misconduct is already common enough to pose a major threat to the research literature,,,,,,,,,,,,,,,,,
3,5,1,5,NA,NA,How harmful are the impacts of serious research misconduct to different segments of society? ,"Consumers of research findings, e.g. patients whose treatment is informed by medical research or policy-makers who depend on research findings",Other researchers who try to build on fraudulent findings,"Other researchers who are based in the same lab, or collaborate with, a fraudulent researcher","Funders, whose funds are wasted",,,,,,,,,,,,,,,,
4,4,1,5,NA,NA,Rate these goals in responding to serious research misconduct,To correct the academic record,To deter others from committing fraud,To maintain public trust in research,,,,,,,,,,,,,,,,,
5,9,1,5,NA,NA,Rate factors that may hinder academic institutions' response to serious research misconduct,"Lack of co-ordination between relevant research actors, such as institutions, funders and publishers",Conflict of interest for institutions investigating their own researchers,Lack of resources,Lack of expertise,Concern about legal repercussions,Bureaucratic delays or inefficiencies in the investigation process,Complexity of cases,,,,,,,,,,,,,
6,4,1,5,NA,NA,What is the impact of these factors in encouraging researchers to commit serious research misconduct?,Low probability of being detected and/or reported,Low probability of being punished if detected and/or reported,"‘Publish or perish’ culture and incentive structure in research (e.g. progression, promotion, recognition)",Fear of losing one’s job if not sufficiently productive in publishing in prestigious journals,,,,,,,,,,,,,,,,
7,3,1,5,NA,NA,Please rate the impact of the following from 1 = strongly negative to 5 = strongly positive in drawing attention to serious academic misconduct,PubPeer,Social Media,Blogs/websites,,,,,,,,,,,,,,,,,
8,1,1,5,NA,NA,Official channels for reporting misconduct are seldom efficient,Strongly agree,Moderately agree,Neither agree nor disagree,Moderately disagree,Strongly disagree,,,,,,,,,,,,,,,
9,7,1,5,NA,NA,"In an ideal world where resources are not an issue, which is the most suitable model/system for addressing serious research misconduct?","Self-regulation approach, where academic institutions are responsible for conducting investigations and determining sanctions when one of their staff is accused","National governance approach, where government regulatory agency is set up for this purpose","National guidelines approach; for example, UK's Committee for Research Integrity, which does not have a regulatory role, but aims to ensure all institutions work to a common framework",Regulatory agency independent of Government,International regulatory,Industry model,Body similar to Health and Safety Exec,,,,,,,,,,,,,
10,1,1,5,NA,NA,Prospective employers should undertake rigorous due diligence etc,Agree regardless of outcome,Agree if research misconduct found,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,,
